Id,Heading,Article.Banner.Image,Outlets,Article.Description,Full_Article,Article_Type,Tonality
36380a7e-4c5f-4f90-be75-dae09f46cf85,Bell Nexus – The Flying Taxi Car Of 2020! This Might Be The Future In The Making Here!,,OmniGeekEmpire,"<p>While the rest of humanity continues to wait for the day hoverboards finally become a commercial reality, flying cars seems to be making strive to kinda become a reality. Introducing the BELL NEXUS, the flying taxi of the future and planning on taking off in 2020.</p>","<p>While the rest of humanity continues to wait for the day hoverboards finally become a commercial reality, flying cars seems to be making strive to kinda become a reality. Introducing the BELL NEXUS, the flying taxi of the future and planning on taking off in 2020.</p>",Commercial,Positive
e1902fb9-ba3e-4262-a94e-302ecdeebfba,"Bell Nexus full-scale air taxi design debuts, taps novel VTOL, hybrid propulsion, energy storage, and avionics technologies",https://www.sae.org/binaries/content/gallery/cm/articles/news/2018/12/bellnexus.jpg,SAE International,"<p>Bell, Safran, EPS, Thales, Moog, and Garmin collaborate to deliver on-demand mobility solutions harnessing novel VTOL systems, hybrid propulsion and drive systems, energy storage, flight control hardware and software, avionics, and vehicle management computers.</p>","<p>Bell, Safran, EPS, Thales, Moog, and Garmin collaborate to deliver on-demand mobility solutions harnessing novel VTOL systems, hybrid propulsion and drive systems, energy storage, flight control hardware and software, avionics, and vehicle management computers.</p>",Commercial,Positive
b15a8436-45a2-48d4-9c56-1f932f6f8c36,Bell Reveals Nexus Air Taxi,,Electric VTOL News™,"<p>The Vertical Flight Society, the world&rsquo;s leading non-profit organization working to advance vertical flight, salutes the unveiling of the Bell Nexus hybrid-electric vertical takeoff and landing aircraft today at CES 2019, the world&rsquo;s largest consumer technology show.</p>","<p>The Vertical Flight Society, the world&rsquo;s leading non-profit organization working to advance vertical flight, salutes the unveiling of the Bell Nexus hybrid-electric vertical takeoff and landing aircraft today at CES 2019, the world&rsquo;s largest consumer technology show.</p>",Commercial,Positive
a13694b7-8fee-49af-bd8c-2ddad0f58265,Bell Reveals the World's First Realistic Air Taxi Concept at CES 2019,http://imagesvc.timeincapp.com/v3/foundry/image/?q=70&w=1440&url=https%3A%2F%2Ftimedotcom.files.wordpress.com%2F2019%2F01%2Fbell-nexus-hero.jpg%3Fquality%3D85,The Drive,"<p>The 2019 CES reveal of Bell&rsquo;s air taxi concept, formally dubbed the Bell Nexus, betrays an approach that&rsquo;s both entirely bought in to the idea of high-tech, electric-powered, vertically-flying, mega-multirotors summoned by smartphone app...and patently dismissive of everyone else&rsquo;s approach to the challenge.</p>","<p>The 2019 CES reveal of Bell&rsquo;s air taxi concept, formally dubbed the Bell Nexus, betrays an approach that&rsquo;s both entirely bought in to the idea of high-tech, electric-powered, vertically-flying, mega-multirotors summoned by smartphone app...and patently dismissive of everyone else&rsquo;s approach to the challenge.</p>",Commercial,Positive
c84d4436-243f-483e-8e58-4bfb6b405943,Bell says its super-quiet flying machine could be the taxi of the future,,Driving,"<p>Although not a car, Bell sees its hybrid VTOL Nexus as part of the urban mobility solution. What exactly are you looking at? Six 8-foot-wide tilting ducted fans allow for vertical takeoff &ndash; needed in crowded environments &ndash; and then tilt forward to achieve speeds of up to 240 km/h.</p>","<p>Although not a car, Bell sees its hybrid VTOL Nexus as part of the urban mobility solution. What exactly are you looking at? Six 8-foot-wide tilting ducted fans allow for vertical takeoff &ndash; needed in crowded environments &ndash; and then tilt forward to achieve speeds of up to 240 km/h.</p>",Commercial,Positive
965334c3-ccec-4302-ab5f-d5f97d07cb95,Bell Unveils Nexus Air Taxi Concept at CES,https://www.ainonline.com/sites/default/files/styles/ain30_fullwidth_large/public/uploads/2019/01/web312-bellnexusconceptimage-0119.jpg?itok=qdga79yk&timestamp=1546633832,Aviation International News,"<p>Bell returned this week to the annual Consumer Electronics Show (CES) in Las Vegas with its &quot;full vision&quot; of a practical urban air taxi, dubbed the Bell Nexus.</p>","<p>Bell returned this week to the annual Consumer Electronics Show (CES) in Las Vegas with its &quot;full vision&quot; of a practical urban air taxi, dubbed the Bell Nexus.</p>",Commercial,Positive
0178e3bb-b033-44fb-a34a-81fa68c62090,Bell unveils Nexus eVTOL,,AWuAV,"<p>Bell Helicopter, a Textron Inc. company, revealed the configuration and full-scale vertical-takeoff-and-landing air taxi vehicle today during CES 2019. The air taxi, named Bell Nexus, is powered by a hybrid-electric propulsion system and features Bell&rsquo;s signature powered lift concept incorporating six tilting ducted fans that are designed to safely and efficiently redefine air travel. As space at the ground level becomes limited, we must solve transportation challenges in the vertical dimension &ndash; and that&rsquo;s where Bell&rsquo;s on-demand mobility vision takes hold.</p>","<p>Bell Helicopter, a Textron Inc. company, revealed the configuration and full-scale vertical-takeoff-and-landing air taxi vehicle today during CES 2019. The air taxi, named Bell Nexus, is powered by a hybrid-electric propulsion system and features Bell&rsquo;s signature powered lift concept incorporating six tilting ducted fans that are designed to safely and efficiently redefine air travel. As space at the ground level becomes limited, we must solve transportation challenges in the vertical dimension &ndash; and that&rsquo;s where Bell&rsquo;s on-demand mobility vision takes hold.</p>",Commercial,Positive
e6cabe53-fcb5-4378-8f1d-c5b2a54db0a9,Bell Unveils Nexus eVTOL Air Taxi,https://www.flyingmag.com/g00/3_c-3ccc.lreotmsgm.ius_/c-3SUXKVNKAY76x24nzzvyx3ax2fx2fccc.lreotmsgm.iusx2fyozkyx2flreotmsgm.iusx2florkyx2fyzerkyx2f211_7d_x2fvahroix2fosgmkyx2f8675x2f67x2fhkrr-tkday.pvmx3fozuqx3d2SZ6yKP9x26lix3d16x2c16x26o76i.sgx78qx3dosgmk_$/$/$/$/$/$/$/$/$/$/$,Flipboard,"<p>Traffic-hopping eVTOL air taxis are all the rage at the Consumer Electronics Show this week in Las Vegas, with Bell stealing headlines by unveiling the 6,000-pound Nexus, a hybrid-propulsion ducted-rotor aircraft boasting a projected 150-mile range, a top speed of 150 mph, expansive windows and an &ldquo;augmented reality enhanced&rdquo; flight experience.</p>","<p>Traffic-hopping eVTOL air taxis are all the rage at the Consumer Electronics Show this week in Las Vegas, with Bell stealing headlines by unveiling the 6,000-pound Nexus, a hybrid-propulsion ducted-rotor aircraft boasting a projected 150-mile range, a top speed of 150 mph, expansive windows and an &ldquo;augmented reality enhanced&rdquo; flight experience.</p>",Commercial,Positive
6f6396b1-bf06-4cf7-aa61-608d095c8586,Bell’s Flying Car Will Be Available Via Uber by the ‘Mid-2020s’ – Manufacturer,,1 News Day,"<p>Bell Nexus could become a part of Uber&rsquo;s new aerial service, making it one of the first air taxis of the future. Bell&rsquo;s Nexus is its &ldquo;air taxi&rdquo; concept &ndash; a hybrid-electric propulsion aircraft using six tilting ducted fans to take off and land vertically from a rooftop or launchpad, the Verge reported.</p>","<p>Bell Nexus could become a part of Uber&rsquo;s new aerial service, making it one of the first air taxis of the future. Bell&rsquo;s Nexus is its &ldquo;air taxi&rdquo; concept &ndash; a hybrid-electric propulsion aircraft using six tilting ducted fans to take off and land vertically from a rooftop or launchpad, the Verge reported.</p>",Commercial,Positive
a463beea-7ee0-4982-ad61-43d00165758f,"Best of CES: Harley-Davidson Livewire, Swagtron Swagcycle 2 and more",,Electrek,"<p>Across the way however, Bell Helicopter showed off a 10 passenger VTOL Hybrid Drone Helicopter with over 100kWh of battery bundled with a diesel generator.</p>","<p>Across the way however, Bell Helicopter showed off a 10 passenger VTOL Hybrid Drone Helicopter with over 100kWh of battery bundled with a diesel generator.</p>",Commercial,Positive
74dfbd87-9ecc-4cc0-b663-a8d639fc6960,"CES 2019 Cools on Self-Driving; Digital Cockpits, V2X & In-Vehicle Shopping Drive Mobility Market",,Synced,"<p>Uber drew crowds at CES 2019 with a gigantic futuristic flying car prototype developed by its partner, Texas-based tech and aerospace firm Bell (formerly Bell Helicopters). Uber expects commercialization of Bell Nexus &mdash; which can accommodate four passengers and one driver &mdash; to take off in the mid-2020s.</p>","<p>Uber drew crowds at CES 2019 with a gigantic futuristic flying car prototype developed by its partner, Texas-based tech and aerospace firm Bell (formerly Bell Helicopters). Uber expects commercialization of Bell Nexus &mdash; which can accommodate four passengers and one driver &mdash; to take off in the mid-2020s.</p>",Commercial,Positive
d0b1a0e8-6307-48c6-a035-2bf07eeaf206,"CES 2019 highlights: 5G, cuddly robots, talking toilets, more",,Syracuse,"<p>&quot;Back to the Future, Part II,&quot; it ain&#39;t. Wired reports Bell has teamed up with Uber for the Nexus air taxi, a hybrid-electric autonomous vertical takeoff and landing vehicle that can fly up to five people using six titled ducting fans.</p>","<p>&quot;Back to the Future, Part II,&quot; it ain&#39;t. Wired reports Bell has teamed up with Uber for the Nexus air taxi, a hybrid-electric autonomous vertical takeoff and landing vehicle that can fly up to five people using six titled ducting fans.</p>",Commercial,Positive
56ea553a-a0a1-4fdc-991c-64eff42a0f02,"CES 2019: Bell Nexus, Is Uber Cool",,TLR Technology,"<p>The Nexus has been designed to be the flying Uber of the future. In the beginning, Uber and Bell plan to have a pilot on board, similar to the safety drivers that sit in the driver&rsquo;s seat of the fully autonomous Ubers that are currently being tested on the road as I type this.</p>","<p>The Nexus has been designed to be the flying Uber of the future. In the beginning, Uber and Bell plan to have a pilot on board, similar to the safety drivers that sit in the driver&rsquo;s seat of the fully autonomous Ubers that are currently being tested on the road as I type this.</p>",Commercial,Positive
29b298fe-8c69-44ae-8135-ca188e15e141,CES 2019: Uber and Bell unveil their prototype flying taxi scheduled for 2023,,Archy Worldys,"<p>Despite the complaints of some specialized journalists, there are still real new things to admire at CES! This is the case of the Bell Nexus, the flying taxi concept that Bell Helicopter has been working on for a while.</p>","<p>Despite the complaints of some specialized journalists, there are still real new things to admire at CES! This is the case of the Bell Nexus, the flying taxi concept that Bell Helicopter has been working on for a while.</p>",Commercial,Positive
b56bf658-8368-4606-b59b-b30ecb0fa72a,"CES 2019's weird, wonderful tech",https://lh3.googleusercontent.com/G_sfU4mrkGKsZoxrIPXrvsyQOsg5k5QLNtQVuF5sUoTlmwX5Z9Pa3Ott3m0gD439eFyKCG-7sPYUw-itq6ehRMg=w816-h459-c,ITWeb,"<p>It wouldn&#39;t be CES without someone trying to build a flying car. This year, Bell showed off a full-scale prototype of the Bell Nexus Air Taxi, which it is designing in partnership with Uber. It has six enormous tilting rotors that make it &quot;fly&quot;, and it can take off and land vertically.</p>","<p>It wouldn&#39;t be CES without someone trying to build a flying car. This year, Bell showed off a full-scale prototype of the Bell Nexus Air Taxi, which it is designing in partnership with Uber. It has six enormous tilting rotors that make it &quot;fly&quot;, and it can take off and land vertically.</p>",Commercial,Positive
470fc786-bf76-40b5-84fa-9b0f05608fd2,CES is now one of the world's biggest auto shows as Ford to Uber debut new technology,https://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2019/01/09/105668927-1547059499082rts29uxg.530x298.jpg?v=1547059569,AV America,"<p>With its glossy black finish, five-person cabin and six huge fan pods, the Bell Nexus looks like it belongs on the set of a science fiction film, rather than the South Hall of the Las Vegas Convention Center.</p>","<p>With its glossy black finish, five-person cabin and six huge fan pods, the Bell Nexus looks like it belongs on the set of a science fiction film, rather than the South Hall of the Las Vegas Convention Center.</p>",Commercial,Positive
58a8d1a5-cb64-4315-9446-80b11cd58b8e,CES: Will Flying Taxis Make Cities Better Places to Live?,,APEX,"<p>Uber is one of the companies placing a big a bet on flying taxis as a viable congestion killer in the near future. The ride hailing platform is working with planemaker Embraer and helicopter manufacturer Bell to design flying vehicles that could one day integrate into a transportation network above city skies. Uber Air plans to launch in Los Angeles, Dallas and a third non-US city, with the first aircraft to be tested as early as 2020.</p>","<p>Uber is one of the companies placing a big a bet on flying taxis as a viable congestion killer in the near future. The ride hailing platform is working with planemaker Embraer and helicopter manufacturer Bell to design flying vehicles that could one day integrate into a transportation network above city skies. Uber Air plans to launch in Los Angeles, Dallas and a third non-US city, with the first aircraft to be tested as early as 2020.</p>",Commercial,Positive
0664bf65-f7b3-404b-8ea2-11757e3d1d7c,EFTM Best of CES 2019,https://eftm.com/wp-content/uploads/2019/01/10761730016_IMG_0307-850x476.jpg,EFTM,"<p>Bell Nexus Air Taxi &ndash; It&rsquo;s stunning. I mean, wow. Just on looks alone this thing wins, but when you factor in the likelyhood that this will change transportation so much, and possibly before the autonomous car &ndash; it&rsquo;s our pick for best Concept of CES 2019.</p>","<p>Bell Nexus Air Taxi &ndash; It&rsquo;s stunning. I mean, wow. Just on looks alone this thing wins, but when you factor in the likelyhood that this will change transportation so much, and possibly before the autonomous car &ndash; it&rsquo;s our pick for best Concept of CES 2019.</p>",Commercial,Positive
43021fad-613c-48b5-9cd1-ab833b5cbc7b,Frisco to downtown Dallas in 8 minutes? That's the promise of Bell's Uber of the sky,https://media.wfaa.com/assets/WFAA/images/61cb50b0-1c20-4d24-82e1-77098bc3eec2/61cb50b0-1c20-4d24-82e1-77098bc3eec2_750x422.jpeg,"WFAA-TV ABC (Dallas, TX)","<p>The &quot;Nexus&quot; carries four passengers and a pilot, although since the vehicle will be capable of autonomous flight, Bell expects the pilot eventually to be eliminated, as passengers become comfortable with an aircraft that can fly itself. But Nexus is unlike any helicopter now flying.</p>","<p>The &quot;Nexus&quot; carries four passengers and a pilot, although since the vehicle will be capable of autonomous flight, Bell expects the pilot eventually to be eliminated, as passengers become comfortable with an aircraft that can fly itself. But Nexus is unlike any helicopter now flying.</p>",Commercial,Positive
8d1f304d-13b2-4fb9-8530-58ee0bfa2dce,Hot Clicks: Some Government Sites are Down During the Shutdown,,GovernmentCIO Media,"<p>Using its Bell Nexus urban air mobility vehicle that the company debuted at this year&rsquo;s Consumer Electronics Show in Las Vegas, Bell wants to help commuters bypass congestion and traffic below, from above. The air taxi would shuttle people from the closest skyport discoverable via an app, where they can get on the aircraft and cut down an hour-and-a-half commute to about eight minutes, according to Robert Hastings, Bell&rsquo;s executive vice president of strategic communications.</p>","<p>Using its Bell Nexus urban air mobility vehicle that the company debuted at this year&rsquo;s Consumer Electronics Show in Las Vegas, Bell wants to help commuters bypass congestion and traffic below, from above. The air taxi would shuttle people from the closest skyport discoverable via an app, where they can get on the aircraft and cut down an hour-and-a-half commute to about eight minutes, according to Robert Hastings, Bell&rsquo;s executive vice president of strategic communications.</p>",Commercial,Positive
3d92c7e8-ba17-4ac8-b4b7-eb25ff2138a7,IS THIS THE FLYING TAXI OF THE FUTURE?,,THE FIRE WIRE,"<p>At CES, Fort Worth, Texas-based firm Bell revealed a full-scale model of its Nexus hybrid-electric air taxi that can take off and land vertically, and seat five people.</p>","<p>At CES, Fort Worth, Texas-based firm Bell revealed a full-scale model of its Nexus hybrid-electric air taxi that can take off and land vertically, and seat five people.</p>",Commercial,Positive
f5ed8690-584f-4778-bacb-c0f3f1471e95,Looking Back at CES 2019: Dreadful Yet Delightful,,Cheddar,"<p>Bell&#39;s Nexus flying taxi was the second big machine I was able to &quot;try.&quot; With six ducted-fans, the half-helicopter, half-airplane vehicle can take-off and land vertically. It can also travel 150mph at top speed when the fans pivot to 90 degrees. On a single charge, the vehicle can travel 150 miles, Bell&#39;s vice president of Innovation Scott Drennan told me.</p>","<p>Bell&#39;s Nexus flying taxi was the second big machine I was able to &quot;try.&quot; With six ducted-fans, the half-helicopter, half-airplane vehicle can take-off and land vertically. It can also travel 150mph at top speed when the fans pivot to 90 degrees. On a single charge, the vehicle can travel 150 miles, Bell&#39;s vice president of Innovation Scott Drennan told me.</p>",Commercial,Positive
836f4dd2-9620-4006-8677-e25f159d3f3a,"NEED A RIDE? DON’T JUST TAKE AN UBER, TAKE AN UBER AIR TAXI.",,Our Community Now,"<p>Bell unveiled its Bell Nexus air taxi, a vertical-takeoff-and-landing craft that is designed to shuttle people from place to place with airborne ease. Last year, the company let CES goers see the cabin design, but it brought the whole enchilada to this show in a full-scale, fully functioning exhibit. Check it out for yourself!</p>","<p>Bell unveiled its Bell Nexus air taxi, a vertical-takeoff-and-landing craft that is designed to shuttle people from place to place with airborne ease. Last year, the company let CES goers see the cabin design, but it brought the whole enchilada to this show in a full-scale, fully functioning exhibit. Check it out for yourself!</p>",Commercial,Positive
39cf9392-062c-4f68-89db-637aa862ad91,Stranger Things at CES 2019,,Itron,"<p>At the Panasonic booth, next to its competitors LG, Samsung and other TV manufacturers, not a single TV was displayed, but a variety of cool product concepts. Finally, a full-size Bell helicopter with six drone-like propellers that looked like a spaceship.</p>","<p>At the Panasonic booth, next to its competitors LG, Samsung and other TV manufacturers, not a single TV was displayed, but a variety of cool product concepts. Finally, a full-size Bell helicopter with six drone-like propellers that looked like a spaceship.</p>",Commercial,Positive
b9eaee97-8a44-424b-a07f-8870147da983,The Bell Nexus Air Taxi Concept Could Be Uber’S First Flying Car – CNET,,Is Update,"<p>Bell, the company behind the Nexus, is actually one of the companies on Uber&rsquo;s short list of aircraft manufacturing partners. More importantly, it&rsquo;s the name in helicopter manufacturing, from the original military models in the 1940s to the V-22 Osprey tiltrotor , which has already bridged the gap between helicopters and winged aircraft.</p>","<p>Bell, the company behind the Nexus, is actually one of the companies on Uber&rsquo;s short list of aircraft manufacturing partners. More importantly, it&rsquo;s the name in helicopter manufacturing, from the original military models in the 1940s to the V-22 Osprey tiltrotor , which has already bridged the gap between helicopters and winged aircraft.</p>",Commercial,Positive
832292c0-d514-4bb6-976f-3b90cd108060,This could be the Uber flying taxi you take to work in 2025,https://static.standard.co.uk/s3fs-public/thumbnails/image/2019/01/11/10/uber-flying-taxi-11-01.png?w600,Flipboard,"<p>Flying taxis may become reality within six years, aviation giant Bell has claimed, as it showed off its vertical take-off and landing &ldquo;flying car&rdquo; concept in partnership with Uber Elevate.</p>","<p>Flying taxis may become reality within six years, aviation giant Bell has claimed, as it showed off its vertical take-off and landing &ldquo;flying car&rdquo; concept in partnership with Uber Elevate.</p>",Commercial,Positive
b0232745-adab-4036-9def-1b73e3012fd1,"Three Major Trends in the 2019CES Show: Virtual Assistant, Apple Is No Longer Closed, Flying Car",http://5b0988e595225.cdn.sohucs.com/images/20190117/209dbbf6cfa24183a58f1732790df219.jpeg,SOHU.com,"<p>This long-term strategy of arrogant and futuristic futurism has been fully demonstrated at CES. First, Uber&#39;s partner Bell Company demonstrated its second-phase concept car for its flying car, and both companies are committed to testing in 2020.</p>","<p>This long-term strategy of arrogant and futuristic futurism has been fully demonstrated at CES. First, Uber&#39;s partner Bell Company demonstrated its second-phase concept car for its flying car, and both companies are committed to testing in 2020.</p>",Commercial,Positive
d472c289-1797-478d-8f48-8d5ae25737b2,Uber Could Be Flying Us Around in One of These by the ‘Mid-2020s,,Metro,<p>One of Uber&rsquo;s partner companies has revealed the prototype for a flying taxi at CES 2019. It&rsquo;s called the Bell Nexus and uses six tilting fans to take off and land vertically. It&rsquo;s like a giant human-carrying drone and it could be here in less than a decade.</p>,<p>One of Uber&rsquo;s partner companies has revealed the prototype for a flying taxi at CES 2019. It&rsquo;s called the Bell Nexus and uses six tilting fans to take off and land vertically. It&rsquo;s like a giant human-carrying drone and it could be here in less than a decade.</p>,Commercial,Positive
137781eb-961a-46e5-8ef8-36e684279224,Uber Showed His Vision of a Flying Taxi in CES 2019,,HardwareTech,"<p>At CES 2019 in Las Vegas, Bell introduced the Nexus the concept of a flying taxi. This same concept is partner of Uber and previously showed other developments in the field of drone taxi. The Nexus is look like a future of transport that is interesting with six rotor design take off and propel itself through the air. Transport will move with the help of six propellers.</p>","<p>At CES 2019 in Las Vegas, Bell introduced the Nexus the concept of a flying taxi. This same concept is partner of Uber and previously showed other developments in the field of drone taxi. The Nexus is look like a future of transport that is interesting with six rotor design take off and propel itself through the air. Transport will move with the help of six propellers.</p>",Commercial,Positive
111e2adb-25ce-484d-8651-4a20b069a241,"Domestic rentals are still tangled with fuel and pure electricity, and foreign countries have already mixed in the sky!",,BitAuto,"<p>However, at the CES show in the United States, which was just opened abroad, Bell released a Nexus, an air taxi with a hybrid system, which opened a big step in the country.</p>","<p>However, at the CES show in the United States, which was just opened abroad, Bell released a Nexus, an air taxi with a hybrid system, which opened a big step in the country.</p>",Commercial,Positive
51765300-70b5-42fe-95ba-ba964ede8a22,"Take a ""flying"" to go to work, no longer have to worry about traffic jams, air taxis put into operation in 2025",,Cnfol.com,"<p>A few days ago, at the CES show in 2019, Bell, the world&#39;s largest helicopter manufacturer, released a vertical take-off and landing (VTOL) air taxi. This air taxi has a hybrid design and is named Nexus. The company plans to launch a prototype of an air taxi in 2020 and achieve mass production and operation in 2025.</p>","<p>A few days ago, at the CES show in 2019, Bell, the world&#39;s largest helicopter manufacturer, released a vertical take-off and landing (VTOL) air taxi. This air taxi has a hybrid design and is named Nexus. The company plans to launch a prototype of an air taxi in 2020 and achieve mass production and operation in 2025.</p>",Commercial,Positive
